DoY-2007  np  V  Vx  Vy  Vz  B  Bx  By  Bz       
      238.12757     4.72200   390.83000  -388.64200    41.30600      .32300     4.67300    -1.56600    -1.39400    -4.15900
      238.12831     5.53700   394.39000  -392.57600    35.75600   -12.24200     4.33800    -1.87100     -.74400    -3.81900
      238.12905     5.48450   394.08500  -392.32650    35.36550   -11.43300     4.06300    -1.45500     -.93100    -3.65400
      238.12979     5.43200   393.78000  -392.07700    34.97500   -10.62400     4.31400    -1.79200     -.99100    -3.78500
      238.13053     6.16900   390.08000  -387.73900    42.53600    -2.82300     1.86100     1.17600     -.13400     -.70800
      238.13127     7.38900   376.25000  -373.10700    44.22900    19.96300     2.83300     2.75100     -.21300     -.03400
      238.13201     7.53700   377.34000  -374.89600    41.56500    10.65400     4.27400     4.18400     -.83800      .13700
      238.13275     6.39300   387.37000  -385.27000    40.27200     1.05700     4.55600     4.47000     -.57500      .59300
      238.13350     6.53100   388.66000  -386.02000    44.16600     9.75100     4.54200     4.45900     -.55000      .63700
      238.13424     6.44200   387.77000  -385.49100    41.81900     4.07900     5.78800     5.48100    -1.50000     1.03600
      238.13498     5.32100   390.85000  -388.26500    42.98500    12.91800     5.60700     5.27500    -1.51300     1.07700
      238.13572     5.89400   390.27000  -387.91100    42.48000     5.66300     4.82900     4.44300     -.99100     1.31700
      238.13646     5.06900   389.38000  -387.23500    40.32400    -6.13700     6.25800     5.38100    -3.11200     -.21700
      238.13720     4.40000   394.96000  -392.91100    40.12800     2.24300     6.85000     5.88000    -3.45600      .18800
      238.13794     4.05000   393.54000  -391.57900    37.60100   -11.31800     6.82800     5.57400    -3.81200     -.79200
      238.13868     3.98600   398.15000  -396.18600    37.14100   -13.30300     6.67100     5.35000    -3.53200     -.85400
      238.13942     4.67300   397.17000  -395.06900    35.79200   -19.66800     6.54800     5.29700    -3.53100    -1.43000
      238.14016     4.35500   396.86000  -394.25300    34.22900   -29.83100     6.48200     5.29500    -3.63300     -.20000
      238.14090     4.75100   400.80000  -399.09800    36.82500    -2.01000     6.45700     5.10500    -3.90400     -.19600
      238.14164     4.54100   397.43000  -395.57700    37.03100   -10.07600     6.43700     5.24700    -3.67000      .30900
      238.14238     4.45400   393.09000  -390.31200    45.90000     8.15500     6.31900     4.65300    -3.75600     -.86700
      238.14313     5.04100   402.77000  -400.70600    38.79500   -12.36500     6.08700     4.41500    -4.05900     -.51400
      238.14387     5.06200   404.23000  -401.55700    45.37300    -9.77100     5.99000     4.23900    -4.08000     -.91600
      238.14461     5.80400   407.49000  -405.13700    42.58600   -10.10300     5.91100     3.78300    -4.31000    -1.37700
      238.14535     4.90500   408.79000  -406.38200    39.65000   -19.85400     6.00700     3.54400    -4.40400    -2.01100
      238.14609     5.02300   408.62000  -406.15200    42.59600   -13.97600     6.05900     3.57500    -4.26700    -2.32000
      238.14683     5.11300   411.45000  -408.50700    44.62300   -20.47800     6.08100     3.47400    -3.98700    -2.98200
      238.14757     4.64400   406.27000  -404.03800    40.31000   -13.41100     6.15200     3.51700    -4.76300    -1.59800
      238.14831     5.15800   402.36000  -401.05800    32.32400      .85400     6.39100     3.56100    -4.76300    -2.32000
      238.14905     4.47200   408.52000  -405.83400    46.02700    -8.49500     6.55600     3.77400    -4.74900    -2.44800
      238.14979     5.08000   413.76000  -410.50000    51.56200    -4.99200     6.13900     3.39200    -4.64400    -2.13400
      238.15053     5.32900   413.35000  -410.14100    50.62200    -8.96600     6.08700     3.26900    -4.40000    -2.61900
      238.15127     5.00800   409.06000  -406.08700    49.20800     1.31200     5.92300     3.31300    -4.37000    -2.00600
      238.15201     5.19600   411.52000  -408.46400    49.91700    -2.01750     5.38300     3.37900    -4.02300    -1.08100
      238.15275     5.38400   413.98000  -410.84100    50.62600    -5.34700     5.57900     3.58400    -4.04800    -1.34100
      238.15350     5.44800   419.93000  -416.15100    55.99100     4.69200     5.48500     3.27900    -3.91200    -1.99000
      238.15424     4.62100   416.13000  -413.50200    46.67600     1.46600     5.80900     3.57800    -4.13100    -1.41400
      238.15498     5.06300   409.66000  -407.42600    42.61100    -3.48500     5.53900     3.59000    -4.11000     -.85300
      238.15572     4.85900   417.33000  -414.46000    48.42200    -6.34000     5.70200     3.68200    -4.16800    -1.22800
      238.15646     5.24500   409.82000  -408.62600    30.69400    -6.13900     5.39900     3.55100    -3.86500    -1.22400
      238.15720     4.89600   411.20000  -410.15400    29.14000     2.98600     5.56600     3.54500    -4.03200    -1.15800
      238.15794     3.93100   412.67000  -411.28900    30.15300   -15.22600     5.62800     3.86600    -3.58700    -1.91600
      238.15868     4.56200   409.05000  -408.22500    24.56000    -8.65100     5.01000     2.61700    -3.32000    -2.54400
      238.15942     4.17000   409.86000  -408.36600    33.58500    -9.58300     4.75500     4.18100    -1.66100     1.20100
      238.16016     5.57000   397.75000  -396.09300    35.50800    -7.27400     4.53600     3.99800    -1.94700      .48600
      238.16090     5.50500   401.65000  -400.04300    35.77300    -2.61700     4.48600     3.69000    -2.52700     -.12600
      238.16164     5.53900   402.15000  -400.71300    33.07500    -7.89100     4.44300     3.80300    -2.19900      .09800
      238.16238     5.53700   398.95000  -397.51100    33.72600    -3.28200     4.66400     4.01700    -2.16100      .24200
      238.16313     6.29500   399.24000  -397.73300    34.55300    -2.30400     4.62100     4.08600    -2.07200      .49300
      238.16387     5.85000   395.91000  -394.28200    33.54700   -12.76000     4.84700     4.53300    -1.65100      .06300
      238.16461     5.76500   395.50000  -394.02600    33.70500    -5.25200     5.01800     4.70300    -1.66800     -.38100
      238.16535     5.93000   397.36000  -395.89800    30.10300   -15.88000     4.79200     4.44500    -1.60300     -.76300
      238.16609     5.53600   398.76000  -397.56200    29.22200   -10.15700     5.17800     4.92800    -1.34600     -.75700
      238.16683     6.34600   399.91000  -398.67800    29.43300   -10.88500     4.93600     4.46300    -1.81200     -.94700
      238.16757     5.57700   397.25000  -395.58400    28.00900   -23.09000     4.91900     4.29900    -1.09600    -1.92400
      238.16831     5.39700   402.54000  -401.18700    28.03600   -17.47100     5.23000     3.84200    -2.98300    -1.76400
      238.16905     4.83100   401.87000  -400.65100    19.54000   -24.45500     5.25700     3.86500    -2.41000    -2.58400
      238.16979     5.06400   403.64000  -402.40200    25.51300   -18.54700     5.29300     4.06200    -1.89400    -2.76700
      238.17053     4.71700   397.37000  -396.24100    21.66700   -20.73600     5.48500     4.50900    -2.13700    -2.26100
      238.17127     4.80300   402.97000  -401.49300    22.65500   -26.02700     5.09800     3.89400    -2.50500    -2.05700
      238.17201     5.73400   405.80000  -404.66500    27.67100   -12.57200     4.88000     3.39400    -2.58800    -2.29800
      238.17275     5.60300   409.31000  -407.74500    27.80100   -22.51000     4.83100     3.21500    -2.90500    -2.06900
      238.17350     5.43200   413.19000  -411.93400    29.95800   -11.79600     5.06400     3.36300    -3.45700    -1.50200
      238.17424     4.98500   414.27000  -412.92700    29.07600   -16.32800     5.28400     3.85300    -3.21700    -1.57200
      238.17498     5.16650   412.81000  -411.72750    24.76700   -16.19400     5.03900     3.87800    -2.66000    -1.75000
      238.17572     5.34800   411.35000  -410.52800    20.45800   -16.06000     4.69500     3.89700    -2.26500    -1.25900
      238.17646     5.01900   408.41000  -407.14900    21.09600   -24.08900     4.65300     3.88200    -2.13100    -1.37100
      238.17720     5.01800   404.87000  -403.56400    28.47000   -15.62200     4.86900     4.17200    -2.24100    -1.02100
      238.17794     4.50100   398.66000  -397.11300    24.15200   -25.46600     4.98900     4.42400    -2.13600     -.75300
      238.17868     5.38900   401.98000  -400.32700    23.87600   -27.55200     4.95300     4.36800    -2.21600     -.61500
      238.17942     5.14300   402.80000  -401.26300    28.13100   -21.11500     4.74500     3.64200    -2.70200     -.82000
      238.18016     4.91600   408.10000  -406.67300    17.40000   -29.25900     4.66000     3.22900    -3.20500     -.90300
      238.18090     5.00400   405.88000  -403.84700    34.09000   -22.04400     4.70900     3.47500    -3.04700     -.82300
      238.18164     5.54200   400.84000  -399.14900    26.70500   -25.36000     4.55000     3.33300    -2.99500     -.76400
      238.18238     5.69800   399.99000  -398.08900    27.30800   -27.76200     4.57600     3.27400    -3.04500     -.95500
      238.18312     5.82300   400.11000  -398.35600    31.23000   -20.55200     4.56200     3.17700    -3.01300    -1.18600
      238.18387     5.60600   402.75000  -400.51500    33.10200   -26.43500     4.82200     4.10700    -2.33200     -.68100
      238.18461     5.79300   398.26000  -395.89900    40.82100   -14.44700     5.14900     4.81900    -1.33100      .98200
      238.18535     6.59600   397.24000  -395.31200    35.36300   -16.72900     5.00400     3.50900    -2.63300    -2.36100
